id,hashtagId,count,siblingTagId,createdAt,updatedAt
103,6,33,16,2017-11-13 12:37:22.168-05,2017-11-13 12:41:55.762-05
91,4,25,44,2017-11-13 12:37:22.113-05,2017-11-13 12:41:49.98-05
67,4,31,6,2017-11-13 12:37:21.957-05,2017-11-13 12:41:35.195-05
6,2,29,15,2017-11-13 12:37:21.607-05,2017-11-13 12:41:47.345-05
135,13,32,17,2017-11-13 12:37:22.327-05,2017-11-13 12:41:53.17-05
78,4,29,26,2017-11-13 12:37:22.028-05,2017-11-13 12:41:32.854-05
34,3,26,4,2017-11-13 12:37:21.793-05,2017-11-13 12:41:49.835-05
57,3,20,39,2017-11-13 12:37:21.91-05,2017-11-13 12:41:49.895-05
129,13,23,2,2017-11-13 12:37:22.29-05,2017-11-13 12:41:27.402-05
38,3,24,15,2017-11-13 12:37:21.815-05,2017-11-13 12:41:55.682-05
110,6,24,23,2017-11-13 12:37:22.196-05,2017-11-13 12:41:35.338-05
25,2,29,40,2017-11-13 12:37:21.748-05,2017-11-13 12:41:47.376-05
125,6,29,47,2017-11-13 12:37:22.271-05,2017-11-13 12:41:52.72-05
70,4,30,15,2017-11-13 12:37:21.976-05,2017-11-13 12:41:49.922-05
27,2,26,41,2017-11-13 12:37:21.76-05,2017-11-13 12:41:47.383-05
99,6,31,4,2017-11-13 12:37:22.15-05,2017-11-13 12:41:35.307-05
22,2,24,37,2017-11-13 12:37:21.736-05,2017-11-13 12:41:47.376-05
131,13,19,3,2017-11-13 12:37:22.298-05,2017-11-13 12:41:53.148-05
33,3,21,2,2017-11-13 12:37:21.786-05,2017-11-13 12:41:35.084-05
63,3,24,49,2017-11-13 12:37:21.939-05,2017-11-13 12:41:52.646-05
11,2,22,21,2017-11-13 12:37:21.657-05,2017-11-13 12:41:32.752-05
105,6,24,19,2017-11-13 12:37:22.176-05,2017-11-13 12:41:52.687-05
56,3,29,40,2017-11-13 12:37:21.91-05,2017-11-13 12:41:55.74-05
36,3,19,13,2017-11-13 12:37:21.808-05,2017-11-13 12:41:52.595-05
80,4,29,29,2017-11-13 12:37:22.045-05,2017-11-13 12:41:49.95-05
39,3,27,16,2017-11-13 12:37:21.817-05,2017-11-13 12:41:55.685-05
113,6,22,30,2017-11-13 12:37:22.21-05,2017-11-13 12:41:55.782-05
90,4,26,41,2017-11-13 12:37:22.107-05,2017-11-13 12:41:26.959-05
23,2,25,39,2017-11-13 12:37:21.74-05,2017-11-13 12:41:35.059-05
1087,2,31,24,2017-11-13 12:37:26.285-05,2017-11-13 12:41:26.714-05
40,3,22,17,2017-11-13 12:37:21.823-05,2017-11-13 12:41:52.604-05
28,2,23,44,2017-11-13 12:37:21.764-05,2017-11-13 12:41:06.932-05
127,6,29,49,2017-11-13 12:37:22.271-05,2017-11-13 12:41:52.728-05
115,6,29,33,2017-11-13 12:37:22.219-05,2017-11-13 12:41:52.709-05
79,4,30,28,2017-11-13 12:37:22.038-05,2017-11-13 12:41:35.245-05
14,2,29,26,2017-11-13 12:37:21.662-05,2017-11-13 12:41:47.353-05
84,4,26,34,2017-11-13 12:37:22.077-05,2017-11-13 12:41:32.869-05
74,4,32,20,2017-11-13 12:37:22.007-05,2017-11-13 12:41:49.935-05
128,6,25,50,2017-11-13 12:37:22.281-05,2017-11-13 12:41:52.728-05
52,3,22,34,2017-11-13 12:37:21.887-05,2017-11-13 12:41:55.725-05
47,3,24,29,2017-11-13 12:37:21.864-05,2017-11-13 12:41:55.715-05
50,3,23,31,2017-11-13 12:37:21.875-05,2017-11-13 12:41:55.725-05
114,6,31,31,2017-11-13 12:37:22.215-05,2017-11-13 12:41:55.783-05
32,2,25,50,2017-11-13 12:37:21.786-05,2017-11-13 12:41:47.403-05
118,6,22,37,2017-11-13 12:37:22.235-05,2017-11-13 12:41:55.798-05
108,6,28,22,2017-11-13 12:37:22.187-05,2017-11-13 12:41:55.762-05
9,2,30,20,2017-11-13 12:37:21.616-05,2017-11-13 12:41:32.748-05
2,2,21,3,2017-11-13 12:37:21.559-05,2017-11-13 12:41:34.961-05
15,2,25,28,2017-11-13 12:37:21.671-05,2017-11-13 12:41:47.359-05
2398,45,24,19,2017-11-13 12:37:54.314-05,2017-11-13 12:41:51.857-05
130,13,30,4,2017-11-13 12:37:22.298-05,2017-11-13 12:41:50.231-05
51,3,23,33,2017-11-13 12:37:21.887-05,2017-11-13 12:41:52.632-05
71,4,34,16,2017-11-13 12:37:21.976-05,2017-11-13 12:41:49.93-05
30,2,25,46,2017-11-13 12:37:21.77-05,2017-11-13 12:41:35.068-05
2408,28,26,11,2017-11-13 12:37:56.385-05,2017-11-13 12:41:48.216-05
13,2,27,23,2017-11-13 12:37:21.662-05,2017-11-13 12:41:35.023-05
21,2,27,35,2017-11-13 12:37:21.736-05,2017-11-13 12:41:47.374-05
54,3,19,37,2017-11-13 12:37:21.902-05,2017-11-13 12:41:55.735-05
48,3,19,28,2017-11-13 12:37:21.864-05,2017-11-13 12:41:35.129-05
133,13,26,14,2017-11-13 12:37:22.311-05,2017-11-13 12:41:50.243-05
60,3,22,44,2017-11-13 12:37:21.931-05,2017-11-13 12:41:52.64-05
72,4,30,17,2017-11-13 12:37:21.982-05,2017-11-13 12:41:49.93-05
45,3,20,23,2017-11-13 12:37:21.846-05,2017-11-13 12:41:49.871-05
132,13,25,6,2017-11-13 12:37:22.299-05,2017-11-13 12:41:53.148-05
83,4,28,33,2017-11-13 12:37:22.067-05,2017-11-13 12:41:49.95-05
59,3,19,43,2017-11-13 12:37:21.922-05,2017-11-13 12:41:55.74-05
58,3,24,41,2017-11-13 12:37:21.918-05,2017-11-13 12:41:52.64-05
87,4,24,37,2017-11-13 12:37:22.085-05,2017-11-13 12:41:49.965-05
68,4,30,13,2017-11-13 12:37:21.961-05,2017-11-13 12:41:49.922-05
95,4,30,49,2017-11-13 12:37:22.127-05,2017-11-13 12:41:35.292-05
